,text,target,T,A,polarity
3128," No 10 Chinese Restaurant doesn't sound exciting, but they do excellent Sichuan food in LOCATION1",,LOCATION1,dining,Positive
3129," Personally i would recommend LOCATION1, with its Edwardian tree lined streets",,LOCATION1,general,Positive
3130," Portobello Market is located in LOCATION1, famous district where the Afro-Carribbeans mix it up with the posh white heroine chique",,LOCATION1,shopping,Positive
3131," Redevelopment of LOCATION1 Basin and Wood Wharf, east of LOCATION2",,LOCATION1,shopping,Positive
3132, Some parts of LOCATION1 and LOCATION2 are very nice indeed,,LOCATION1,general,Positive
3133," Stay in LOCATION1, that way when you are going to and from LOCATION2 all you have to do is get on the train and not have to worry about getting across London on the Tube with your suitcases and risk delays and so on",,LOCATION1,transit-location,Positive
3134, The best club in London is Fabric in upper LOCATION1 if you like proper dance music,,LOCATION1,nightlife,Positive
3135, The only village type bits of the capital are possibly the quiet areas around LOCATION2 and LOCATION1,,LOCATION2,quiet,Positive
3136," The tradtional way to wind up a friday or saturday night is to go to the bagel place in LOCATION1 (LOCATION2), which is all night",,LOCATION2,quiet,Positive
3137, This may sound stupid but whenever I visit a rough part of London such a as LOCATION2 or LOCATION1 I really enjoy it there,,LOCATION1,general,Positive
3138," Unless you want to go to private nightclubs in the evening and have lots of cash to spend, don't suggest LOCATION1",,LOCATION1,nightlife,Positive
3139, Well the best places to live in London are in the LOCATION2 and the very central LOCATION1,,LOCATION2,live,Positive
3140," Yes LOCATION1 is nice ( some of it ) , although the tourist bit is rather expensive ",,LOCATION1,price,Negative
3141, Yes most people that live in  LOCATION1 and LOCATION2 are Bengalis,,LOCATION2,multicultural,Positive
3142," You will see that LOCATION1 is the most dangerous London borough and , by far , has the most crime",,LOCATION1,safety,Negative
3143," You'll want to stay somewhere fairly central, so try areas around LOCATION1/LOCATION2",,LOCATION1,transit-location,Positive
3144, all in all LOCATION1 is a good choice,,LOCATION1,general,Positive
3145," also suggest LOCATION1 as a nice historic area to visit, best at weekends because they have a good craft market",,LOCATION1,touristy,Positive
3146," areas like LOCATION2,  LOCATION1 etc have a lot of flatshare opportunities because of all the students at University of London",,LOCATION1,touristy,Positive
3147," areas near LOCATION1 station, lots of markets, stores and pubs and during friday nights, you'll see people having fun and stuff",,LOCATION1,shopping,Positive
3148," as soon as some prat in LOCATION1 hears me, their eyes glaze over",,LOCATION1,shopping,Positive
3149," beware as the Lock tends to act as the focal point for LOCATION1's drug dealing, especially at night",,LOCATION1,safety,Negative
3150, but all I can say is LOCATION1 isn't that bad really,,LOCATION1,general,Positive
3151," close to LOCATION1, good shops,bars and restaurants, theatres and cinemas",,LOCATION1,shopping,Positive
3152, don't bother going to live in LOCATION2 or LOCATION1,,LOCATION2,live,Negative
3153," have a look round the 'poets corner' part of LOCATION1 (few nice bars, getting quite trendy), you would get a bit more for your money ",,LOCATION1,nightlife,Positive
3154, head over to LOCATION1 to shop and eat - it's constantly evolving,,LOCATION1,shopping,Positive
3155," i am actually living in LOCATION1 which is nice but my council accommodation is too small for us, so we want to exchange with someone living in LOCATION1 ",,LOCATION1,general,Positive
3156, i go to school in LOCATION2 area not much crime unless you travel to LOCATION1 at like night time,,LOCATION2,safety,Positive
3157, i guess the only two decent places of London are LOCATION1 and LOCATION2 but those are the most expensive places in London,,LOCATION2,general,Positive
3158, i highly recommend LOCATION1 or LOCATION2 area,,LOCATION1,general,Positive
3159, i would avoid LOCATION1 as the rates there can be almost just as expensive as Central London,,LOCATION1,price,Negative
3160, i would prefert LOCATION1 more,,LOCATION1,general,Positive
3161," i would recommend LOCATION1, it is better in my opinion, hence it is more expensive i think",,LOCATION1,price,Negative
3162," i would recommend a place with lots of green, like LOCATION1, its very quiet",,LOCATION1,green-nature,Positive
3163," id much rather be in LOCATION1  , but there are areas like LOCATION2 that i tend to stay clear of",,LOCATION1,general,Negative
3164, if you have a really good budget then LOCATION1 ,,LOCATION1,price,Negative
3165," if your budget is big enough, try and get a place in LOCATION1/LOCATION2 etc  It really depends on budget",,LOCATION2,general,Positive
3166," it's a bit expensive round LOCATION1, but there are a few places round there, but mainly hotels",,LOCATION1,price,Negative
3167, just stay away from LOCATION1 I lived in London and worked all over it for several years,,LOCATION1,general,Positive
3168, live in a riverside boat house and saw Ian Dury drinking in The Dove on LOCATION1 riverfront,,LOCATION1,general,Positive
3169," locations such as LOCATION1 and LOCATION2 are to be regarded as essentially ""London"" and not as Surrey at all",,LOCATION1,general,Positive
3170," lots of nightlife in The LOCATION1 area, it really buzzes in the evenings   rental accommodation is quite pricey around that area    but I personally would find it a bit claustrophobic to live in ",,LOCATION1,nightlife,Positive
3171," my dad has a house in LOCATION1, and that place is safe :) ",,LOCATION1,safety,Positive
3172, my grandparents  lived in LOCATION1 for a long time and it was very boring,,LOCATION1,general,Negative
3173, new bullet line from LOCATION1 opens next year which will put you into the centre of London in 25 minutes,,LOCATION1,transit-location,Positive
3174, on the other side of the river also LOCATION1 is a very nice area to live in London,,LOCATION1,live,Positive
3175, so living near to LOCATION1 would be very cool,,LOCATION1,general,Positive
3176," streets around LOCATION1) are OK, too",,LOCATION1,general,Positive
3177," the highly paid jobs tend to be in the LOCATION1 (with an average salary of around 100,000)",,LOCATION1,general,Positive
3178, the real treat of living in LOCATION1 are the smaller shops that line the streets of this residential neighborhood,,LOCATION1,shopping,Positive
3179, there are alot of stores etc on LOCATION1 high road,,LOCATION1,shopping,Positive
3180, there are loads of pick pockets down the LOCATION1,,LOCATION1,safety,Negative
3181, there are some good shops in LOCATION1,,LOCATION1,shopping,Positive
3182, there are some parts of LOCATION1 that are nice and VERY quiet,,LOCATION1,quiet,Positive
3183," there is quiet a lot going on down in LOCATION1 and getting into town is easy as there are millions of buses along the high road to LOCATION1 tube, night buses and the overland rail links ",,LOCATION1,transit-location,Positive
3184," there's LOCATION1, which is, I would say, a forest  The Thames also runs through there ",,LOCATION1,green-nature,Positive
3185, theres nothing wrong with LOCATION1,,LOCATION1,general,Positive
3186," travel can be difficult, especially at LOCATION1 where there are no trains, just busses  ",,LOCATION1,transit-location,Negative
3187," try LOCATION1 in NW London onj the Jubilee Line, there are some 'cheaper' type rooms to rent there",,LOCATION1,general,Positive
3188," try LOCATION1 or LOCATION2, you can find something decent and for not much money",,LOCATION1,price,Positive
3189, try looking around LOCATION2 and LOCATION1,,LOCATION2,general,Positive
3190," try looking in LOCATION1 or LOCATION2, these are OK areas, with nice cafes",,LOCATION1,general,Positive
3191, try somewhere in LOCATION1,,LOCATION1,general,Positive
3192," try to live on the LOCATION1, its got a better atmosphere and is much cleaner",,LOCATION1,general,Positive
3193, write your address in google postal code  LOCATION1 is not very nice,,LOCATION1,general,Negative
3194, yes LOCATION1 needs two unemployment offices to manage the copius claims,,LOCATION1,general,Negative
3195, yes LOCATION2 London and LOCATION1 are very good areas,,LOCATION1,general,Positive
3196, you absolutely have to check LOCATION1 out,,LOCATION1,general,Positive
3197, you can visit LOCATION1 at the same time which is a great experience,,LOCATION1,touristy,Positive
3198, you could consider  LOCATION1 is a mix of culture etc  You'll find a lot of different people there ,,LOCATION1,multicultural,Positive
3199, you could live in most parts of LOCATION1 and some areas of LOCATION2 and be able to commute easily,,LOCATION2,live,Positive
3200, you could opt for lower end of LOCATION1 which has buses to LOCATION1  and the overground ,,LOCATION1,transit-location,Positive
3201, you need to read up about what happened when the newspapers relocated to LOCATION1   it's regenerated a big area which was derelict and added a lot of office and housing space,,LOCATION1,transit-location,Positive
3202,""" My friend once collected a couple from LOCATION1 and was taking them to their hotel",,LOCATION1,transit-location,Positive
3203,"# LOCATION1 Arts Centre  0,Free",,LOCATION1,transit-location,Positive
3204,"' punk rock mentality , LOCATION1 is the epicentre of bohemian counterculture",,LOCATION1,transit-location,Positive
3205,"'ave a bit of chow at Harrods, then go to the LOCATION1 and light up a fag init",,LOCATION1,transit-location,Positive
3206,"(However, I walk to LOCATION1 station after 9.30 every week and have never had a problem)",,LOCATION1,safety,Positive
3207,(LOCATION1 and LOCATION2),,LOCATION1,safety,Positive
3208,(LOCATION1 is in zone 2),,LOCATION1,safety,Positive
3209,(LOCATION1) Custom house,,LOCATION1,safety,Positive
3210,(my sister's boyfriend has just bought a small flat for half a mill in LOCATION1,,LOCATION1,safety,Positive
3211,(not sure about other LOCATION1 boroughs though),,LOCATION1,safety,Positive
3212,") LOCATION1 is lovely , especially around LOCATION2 etc ",,LOCATION1,general,Positive
3213,", Potters Bar, LOCATION1, LOCATION2",,LOCATION1,general,Positive
3214,", theres nothing wrong with LOCATION1",,LOCATION1,general,Positive
3215,- Cached LOCATION1 accommodation - accommodation in LOCATION1 Flats/Houses - Rent,,LOCATION1,general,Positive
3216,"- LOCATION2 and LOCATION1 have clubs, Cinemas, Restaurants and bars to spare",,LOCATION2,dining,Positive
3217,"- Near to popular areas like LOCATION1, LOCATION2, etc  - Rent is quite reasonable",,LOCATION1,price,Positive
3218,"- learn the red-light spots such as LOCATION1 where alot of drugs, whores and drunks stay around, you don't wanna get lost around those places",,LOCATION1,general,Negative
3219,"15 on guest list or more on the door Guest list - VIP - Table Booking: 07734405567 or 07971190439 Attica Club, 24 Kingly Street, LOCATION1, London, W1 ""CRAZYSEXYCOOL"" AT CLUBBOULEVARD EVERY FRIDAY NIGHT",,LOCATION1,general,Negative
3220,30 minutes to LOCATION1 on tube,,LOCATION1,general,Negative
3221,8-10 Dover Street LOCATION1,,LOCATION1,general,Negative
3222,@ sweet I love LOCATION1 actually lol,,LOCATION1,general,Positive
3223,A better walk around that way would be to  walk along the canal to LOCATION1,,LOCATION1,green-nature,Positive
3224,A few of my colleagues lived in LOCATION1 (our office was in Greater London),,LOCATION1,green-nature,Positive
3225,"A little flat in LOCATION1 will be very nice, but will cost you a good deal of money",,LOCATION1,price,Negative
3226,A load of money will buy you a nice house in LOCATION1 or LOCATION2,,LOCATION1,price,Negative
3227,A more affordable option would be LOCATION1,,LOCATION1,price,Positive
3228,"A trip on the river from LOCATION2, richmond or Hampton Court to LOCATION1 is another paid for attraction well worth doing",,LOCATION1,price,Positive
3229,A true Cockney is one who was born within the sound of the LOCATION1 Bells,,LOCATION1,price,Positive
3230,AND the trains to London are fast from LOCATION1,,LOCATION1,transit-location,Positive
3231,Absolutely LOCATION1 is London,,LOCATION1,transit-location,Positive
3232,Additionally you should consider  LOCATION1 or LOCATION2 ,,LOCATION1,general,Positive
3233,"Administratively , since 1963 , LOCATION1 has been part of Greater London and not in the modern county of Kent",,LOCATION1,general,Positive
3234,"Administratively, LOCATION1 is in Greater London, and houses the headquarters of the London borough of LOCATION2",,LOCATION1,general,Positive
3235,Aesthetically I would go for LOCATION1 - it has loads of lovely green space to walk on,,LOCATION1,green-nature,Positive
3236,Afraid to go out  LOCATION1 is a horrible place full of scum,,LOCATION1,safety,Negative
3237,Again these areas have nice parts/bad parts but again they are more cheap ( LOCATION1 can be a bit expensive depending though ) and they can be a bit run down if you go to certain places,,LOCATION1,price,Negative
3238,Agree with LOCATION1 Whenabouts did you live in LOCATION2,,LOCATION1,price,Negative
3239,Alot of tube lines go into LOCATION2 and LOCATION1 so you have plenty of choices,,LOCATION2,transit-location,Positive
3240,"Also , LOCATION2 and LOCATION1 are good places for cheap housing , but I find them depressingly suburban",,LOCATION1,general,Negative
3241,Also LOCATION1 and LOCATION2 aren't that bad tho' they are much more expensive than they used to be,,LOCATION2,general,Positive
3242,"Also SE is LOCATION1, that is pretty up and coming",,LOCATION1,general,Positive
3243,"Also going west,  LOCATION2 and LOCATION1 are nice, too",,LOCATION2,general,Positive
3244,"Also look at Time Out website for ideas  Go LOCATION1 tube station, then look at the Asian shops in Green Street (: LOL",,LOCATION1,multicultural,Positive
3245,"Also nearby is Kenwood house on LOCATION1, with great art inside and a beautiful garden",,LOCATION1,green-nature,Positive
3246,Also the areas around LOCATION1 and LOCATION2 were quite nice,,LOCATION2,general,Positive
3247,Also try LOCATION1,,LOCATION1,general,Positive
3248,"Also, in the back streets behind LOCATION1 (such as Goodge Street and Mortimer Street) you can get a number of nice places with a more traditional feel, and these are usually a bit cheaper as well ",,LOCATION1,price,Positive
3249,"Also, you could go to LOCATION1 (""trendy"" area of East End, full of pubs, clubs and other interesting things",,LOCATION1,nightlife,Positive
3250,"Alternatively, there is the very popular area of LOCATION1 (and also LOCATION2) although these are probably more expensive",,LOCATION2,general,Positive
3251,"Although the house prices in LOCATION1 will be more expensive to rent, ",,LOCATION1,price,Negative
3252,"Although truly, any where except LOCATION1 will do",,LOCATION1,price,Negative
3253,Am I a North Londoner or a LOCATION1 boy,,LOCATION1,price,Negative
3254,An additional point: LOCATION1 tube station is a great one to be near,,LOCATION1,price,Negative
3255,"And Francois, it was your choice to live in LOCATION1, not ours",,LOCATION1,price,Negative
3256,And I was wondering whether to live in LOCATION1 or not,,LOCATION1,price,Negative
3257,"And LOCATION1 is no better, you'll be paying higher rent rates, and have just as many housing estates on your door step",,LOCATION1,price,Negative
3258,"And West, plenty of (rich) people live in LOCATION1 and LOCATION2  London and Greater London are different names for the exact same area",,LOCATION1,price,Negative
3259,"And anyhow, surely the ""lack of NE postcodes"" would suggest by your logic the possibility that it is North LOCATION1 which is a ""seperate entity""",,LOCATION1,price,Negative
3260,And as a footnote to the distance that the sound of LOCATION1 Bells could be heard,,LOCATION1,price,Negative
3261,"And finally LOCATION1, for your thirty something who is looking to settle down, but still likes a night out",,LOCATION1,nightlife,Positive
3262,And no it's not called St Paul's  You said it yourself: LOCATION1,,LOCATION1,nightlife,Positive
3263,And something a bit fun and free (not sure if this is what you mean by LOCATION1) - Speakers Corner in LOCATION1 (Sunday morning is the best time to go),,LOCATION1,nightlife,Positive
3264,And what about LOCATION1,,LOCATION1,nightlife,Positive
3265,"And yes , LOCATION1 is a quiet LOCATION1 suburb but it has restaurants , pubs etc ",,LOCATION1,quiet,Positive
3266,And you can jump on a bus and be in LOCATION1 within 10mins,,LOCATION1,transit-location,Positive
3267,"Another good place to consider is LOCATION1 as there are many shops and a few clubs, and it is situated on the central line so only a few stops from central London and hotspots such as Oxford Street",,LOCATION1,general,Positive
3268,"Another place to consider is LOCATION1 - it's got some lovely areas, it's on the river, there are some great independent shops, there are good restaurants and cafes and a great market",,LOCATION1,general,Positive
3269,Anyway I know where LOCATION1 is and so on but I've never liked it,,LOCATION1,general,Negative
3270,"Anywhere around LOCATION1,  LOCATION2 I'd stay clear off especially after dark",,LOCATION2,general,Negative
3271,"Are there any places that are nice and not too expensive, but also not way out in the outskirts (i e  LOCATION1, LOCATION2, Biggin Hill, etc )",,LOCATION2,general,Negative
3272,Are you aware that LOCATION1 is the heart of the Gay area of London,,LOCATION2,general,Negative
3273,Areas in Essex such as LOCATION1 are quite affluent but would be considered by many to be more of a 'new money' crowd,,LOCATION1,price,Negative
3274,Areas like LOCATION1 are  quite far in regards to transport- it depends what you are after,,LOCATION1,transit-location,Negative
3275,Around Manor House / Turnpike Lane in LOCATION1 there are pretty much shared houses  The best way to find a job is to become a waitress,,LOCATION1,transit-location,Negative
3276,As a London I should explain that LOCATION1 has excellent connections with the rest of London,,LOCATION1,transit-location,Positive
3277,"As a general rule, anywhere on the LOCATION1 branch of the Northern Line is ok - except perhaps LOCATION2 and Archway which are a bit dangerous / grubby",,LOCATION2,safety,Negative
3278,"As a rule, some of the cheapest areas are in LOCATION1 as these are not served by the tube (underground) and therefore commuting into the London is more difficult s",,LOCATION1,price,Positive
3279,As for LOCATION1,,LOCATION1,price,Positive
3280,As for LOCATION1 -  you would find it hard to buy anything there for less than 250-300k,,LOCATION1,price,Negative
3281,"As for LOCATION1, I rarely go out but as far as shopping goes its got everything you need  LOCATION2",,LOCATION1,price,Negative
3282,"As for the safety, LOCATION2's also a good place but a bit noisy at times especially if you are close to  LOCATION1",,LOCATION2,safety,Positive
3283,"As the other answerer said: LOCATION2 - Bank by DLR, then Bank - LOCATION1 by Northern Line (Northbound)",,LOCATION2,safety,Positive
3284,At the centre of London are the LOCATION1 (historically the seat of the Government) and the London immediately to the east which was the original core of London,,LOCATION2,safety,Positive
3285,At the moment I live in LOCATION1,,LOCATION2,safety,Positive
3286,Avoid LOCATION1 to the south without a knife proof vest Thinking of moving to London,,LOCATION2,safety,Positive
3287,"Avoid LOCATION2 (nothing interesting there) , stay  LOCATION1 areas",,LOCATION1,general,Positive
3288,BTW LOCATION1 is SE London Web Beerintheevening,,LOCATION1,general,Positive
3289,"Be excited , not stressed , everything will be great LOCATION1 is a very very desirable area - amazing that you can afford to live there as a student",,LOCATION1,price,Negative
3290,"Bear in mind that some areas are convenient for the London, and some areas are convenient for LOCATION1, but very few areas are convenient for both",,LOCATION1,price,Negative
3291,"Because there are a ton of hotels in LOCATION1 there are also tons of places to eat, pubs and so on",,LOCATION1,nightlife,Positive
3292,Best advice is to check out the tube/rail map at  and then work out journey times to LOCATION1 and cross reference it with  for rent prices,,LOCATION1,nightlife,Positive
3293,Best of luck  If you want to live somewhere very trendy I would definitely try LOCATION1,,LOCATION1,general,Positive
3294,Both LOCATION1 and LOCATION2  are easily accessable,,LOCATION2,transit-location,Positive
3295,"Both LOCATION1 and LOCATION2 are really nice, the key though is whether or not you can afford it",,LOCATION2,general,Positive
3296,Buckingham Palace is in LOCATION1,,LOCATION2,general,Positive
3297,But NOT in LOCATION1 where rents are astronomical,,LOCATION1,price,Negative
3298,But does anybody know of any kids wing chun classes closer to LOCATION1/LOCATION2,,LOCATION1,price,Negative
3299,"But if I had a choice to live anywhere in London it would be LOCATION1 because all the shopping and places to visit, clubs etc  ",,LOCATION1,nightlife,Positive
3300,But if a more central location is important to you I would go with LOCATION1,,LOCATION1,transit-location,Positive
3301,"But otherwise the LOCATION1 and LOCATION2 do have a safe public atmosphere, if you ask me",,LOCATION2,safety,Positive
3302,"But the two areas you have mentioned LOCATION2 and LOCATION1, depending on what parts you go to are no worse than other parts of London and in some ways are among the safer areas the Metropolis that is London",,LOCATION2,safety,Positive
3303,"But you can LOCATION1, Or Canada Water, they are in Zone 2, 450 a month should get you a nice studio",,LOCATION2,safety,Positive
3304,"Central London can be split into three main sections, the London, LOCATION2, and LOCATION1",,LOCATION2,transit-location,Positive
3305,"Certain parts of LOCATION1 are ok, such as Park Avenue which is right near LOCATION2",,LOCATION1,general,Positive
3306,"Cheap is just out of London, like LOCATION2, LOCATION1, etc  ",,LOCATION1,price,Positive
3307,"Check this out  Just down the road you have LOCATION1, I lived there a few times and loved the place, but never could afford to buy ",,LOCATION1,price,Negative
3308,"Cigar Joe was a gypsy traveller, did not live in LOCATION1 area, he lived in a gypsy encampment in LOCATION2 ",,LOCATION1,price,Negative
3309,"Closely followed by Slough, Harlow, Bracknell and Stevenage  Get the 25 bus from Oxford Street to LOCATION1, and start looking at the general housing condition when you get past Aldgate",,LOCATION1,price,Negative
3310,"Clubs , Pubs and Students It is also true that LOCATION1 is infested by students",,LOCATION1,nightlife,Positive
3311,Come and live in LOCATION1,,LOCATION1,live,Positive
3312,"Come on this is England we're talking about we can have different weather in the same street :) I'd have no problem believing it was raining in LOCATION2 but sunny in LOCATION1 (or vice versa) That said  I bet that 'on average' yeah the weather would be the same 90% of the time, as you say they're NOT that far away from each other  The geographical distinction of whether you are in Essex or London makes no difference to the weather",,LOCATION1,live,Positive
3313,"Concert Hall Approach, LOCATION1, London SE1. Tel: 020 7928 9370. [Monday-Saturday] (4) Boisdale",,LOCATION1,live,Positive
3314,Cool clubs under the railway arches in LOCATION1,,LOCATION1,nightlife,Positive
3315,Could someone please tell me if they think LOCATION1 would match what I am looking for or suggest any other areas,,LOCATION1,nightlife,Positive
3316,Dad told me that they were the LOCATION1 Bells,,LOCATION1,nightlife,Positive
3317,Damn sure there is something fishy going on here  We were phoned today by a company claiming to be working with LOCATION1 Police and fitting FREE Fire and Security Alarms,,LOCATION1,nightlife,Positive
3318,"Depends on your budget, if it's tight then look at the LOCATION1, LOCATION2",,LOCATION1,price,Positive
3319,Depends what area of LOCATION1,,LOCATION1,price,Positive
3320,"Don't go to LOCATION1, I lived there for 3 years, it's horrible",,LOCATION1,live,Negative
3321,"Don't live in LOCATION1, unless you want to mobed while doing your grocery shopping",,LOCATION1,live,Negative
3322,"Doubt it it wasn't posh in the mid seventies - runaways from oop north, just off trains at LOCATION1 and St  Pancreas used to head off there, hoping to be picked up by old 'hows yer fathers' in their Austin Princesses and Vanden Plas motors",,LOCATION1,live,Negative
3323,Down south go for LOCATION1 or LOCATION2,,LOCATION1,general,Positive
3324,EDIT - Carry forget LOCATION1 your talking 130+ JUST for a room in a flatshare and THAT was in an ex authority dive,,LOCATION1,general,Negative
3325,"Earlier this year, I stayed at the LOCATION1 Hotel",,LOCATION1,general,Negative
3326,"Earlier when I went to London, I stayed in Somerset Apartments LOCATION1 London",,LOCATION1,general,Negative
3327,Edit: LOCATION1 matchdays much be a godsend for you,,LOCATION1,general,Negative
3328,En route you will pass London Wetland Centre at LOCATION1 which claims to be the best urban wildlife centre in Europe,,LOCATION1,green-nature,Positive
3329,"Even Green Hythe, LOCATION1, Gravesend and surrounding area's (West Kingsdowne, Eynesford Hextable etc)",,LOCATION1,green-nature,Positive
3330,Even in LOCATION1,,LOCATION1,green-nature,Positive
3331,"Even in LOCATION1 there are safe places to bring up children, such as LOCATION2 which is very friendly",,LOCATION1,safety,Positive
3332,Everyone would love to live in LOCATION1 and LOCATION2 but few can afford it,,LOCATION1,live,Positive
3333,"Everything is expensive in LOCATION1 including the famous department store there, Harrods, rents, shops, restaurants",,LOCATION1,price,Negative
3334,Example: LOCATION1,,LOCATION1,price,Negative
3335,"First of all, LOCATION1 ISN'T a 'no go' area",,LOCATION1,general,Positive
3336,First up a real Cockney - Tommy Steele - from LOCATION1 - one of his more famous Cockney recordings from the 1950s,,LOCATION1,general,Positive
3337,"Football supporters do, however, like to support winning teams, hence the popularity of Manchester United, Manchester London, LOCATION1 and Arsenal",,LOCATION1,general,Positive
3338,For Beckingham read LOCATION1,,LOCATION1,general,Positive
3339,For LOCATION1 rentals try these links,,LOCATION1,general,Positive
3340,For a fun night out head to Roadhouse in LOCATION1 for a good night out,,LOCATION1,nightlife,Positive
3341,For a high one you can get the best LOCATION1 for a low one (well that could be loads of places),,LOCATION1,nightlife,Positive
3342,For christ's sake do not move to LOCATION1,,LOCATION1,general,Negative
3343,"For example, living in LOCATION1 is completely different to living in LOCATION2",,LOCATION1,general,Negative
3344,"For example, to a Londoner, LOCATION1 generally means the district  not the borough",,LOCATION1,general,Negative
3345,"For green spaces LOCATION1 is brilliant - parks, the River Thames towpath, LOCATION1 National Nature Reserve ",,LOCATION1,green-nature,Positive
3346,"For human interest, you can't beat LOCATION1 for its marvelous array of street performers and buskers",,LOCATION1,touristy,Positive
3347,"For instance, you could live in the Redbridge area, where there are some new developments, and large parks, close to LOCATION2 forest etc; Or you might want a LOCATION1 area, a Waltham Forest area, a Tower Hamlets area (there are some really lovely places in Tower Hamlets for not too much) etc; You'll probably need to start off flatsharing in a small-ish flat, but don't be put off moving to London for that",,LOCATION1,touristy,Positive
3348,"For instance, you will find shopping centres in LOCATION2, LOCATION1 etc  and not just in the centre of London",,LOCATION2,shopping,Positive
3349,"For more affordable but still buzzing suburbs home to many working travellers, try LOCATION1, LOCATION2 ",,LOCATION2,transit-location,Positive
3350,"For more of a neighbourhood feel head to LOCATION2 or LOCATION1, where lively pubs and clubs meet parks and public libraries",,LOCATION1,nightlife,Positive
3351,For more shopping try the market at LOCATION1 where there are lots of stalls and shops selling quirky things,,LOCATION1,shopping,Positive
3352,For nice safe-but-trendy places I'd recommend around  LOCATION1,,LOCATION1,safety,Positive
3353,For shopping I'd take them to south London and visit  LOCATION2 and also take them to LOCATION1 ,,LOCATION2,shopping,Positive
3354,"For shopping, LOCATION1 is only a 10 minute bus ride away",,LOCATION1,shopping,Positive
3355,"For your information I have been to LOCATION1 many times, it's a s hole",,LOCATION1,general,Negative
3356,"Fortnum and Mason of Picadilly, known as the Queen's grocers s a fantastic store as is Harrods of LOCATION1",,LOCATION1,general,Negative
3357,"Fred Savage, 1970, LOCATION1  LOCATION2 Football Club's home is Stamford Brook",,LOCATION1,general,Negative
3358,From LOCATION2 to LOCATION1 it is much the same route,,LOCATION1,general,Negative
3359,"From journeys through LOCATION1 over the years (but without knowing it in great detail admittedly), I can advise you that at least half of the area is attractive, respectable, green and vibrant, which is what you are aiming for",,LOCATION1,green-nature,Positive
3360,From what I understand LOCATION1 is the safest and trendiest area,,LOCATION1,general,Positive
3361,"Further out, LOCATION2 is very genteel with lots of beautiful shops, LOCATION1 and is very leafy",,LOCATION1,green-nature,Positive
3362,"Further out, and a little less hip but still fun, are LOCATION2 (south east) and LOCATION1 (south west) ",,LOCATION1,general,Positive
3363,GOk Wan and Gareth Gates live in LOCATION1,,LOCATION1,general,Positive
3364,"Generally speaking, LOCATION1 is safer, quieter and more ''white''",,LOCATION1,quiet,Positive
3365,"Generally, anywhere with an SW postcode is a good place to live (except for LOCATION2 and LOCATION1)",,LOCATION2,live,Negative
3366,Go to LOCATION1  it is in the commuter belt,,LOCATION1,transit-location,Positive
3367,"Good luck LOCATION1 Kebab 133 Essex Road London N1 2SN Telephone 020 7226 0812 Used to live near there, know it well",,LOCATION1,transit-location,Positive
3368,"Good luck LOCATION1 is a very nice place to live , lots of artry farty t",,LOCATION1,live,Positive
3369,Good luck London is one of the most gay friendly citys in the world so you dont need to worry however LOCATION1 has a very big gay community so you may want to look into that,,LOCATION1,live,Positive
3370,"Good luck in your search  LOCATION1 is nice, and not as overpriced as other areas of London",,LOCATION1,price,Positive
3371,"Goths, punk, rocks, pubs, countless music venues, and loads of food   LOCATION1 High St",,LOCATION1,dining,Positive
3372,Great area is LOCATION1,,LOCATION1,general,Positive
3373,"Green street will be easy to find your way round, but LOCATION1 you may have to walk through a few roads sometimes ",,LOCATION1,general,Positive
3374,"Have a great time in LOCATION2 and LOCATION1 You have to beware of scams , but it seems good",,LOCATION2,safety,Negative
3375,Have you walked around LOCATION1 or LOCATION2 to the areas where people actually live,,LOCATION2,safety,Negative
3376,"He lives in West London now, but his parents own a place in LOCATION1",,LOCATION2,safety,Negative
3377,"He used to work for a firm called Lucas and Co based in LOCATION1, E",,LOCATION2,safety,Negative
3378,"Head to the LOCATION1 area - where you can see the major London landmarks and then visit LOCATION2 - good for  shopping, and cafes",,LOCATION1,touristy,Positive
3379,"Heading towards LOCATION1 can get a little bit rougher, there aren't really any rough areas near LOCATION2 , just loads and loads of tourists",,LOCATION2,safety,Positive
3380,"Hello Stephanie, If you are travelling from LOCATION1 to London, then you should take the Underground line, which goes straight from London LOCATION1 Airport, and will take you into Central London",,LOCATION2,safety,Positive
3381,Here is a link to Zoopla which will give you an idea of prices in LOCATION1 (the nearest thing to the place you described),,LOCATION2,safety,Positive
3382,"Here is something from Wikipedia: ""The hill from which LOCATION1 takes its name is probably the hill up and down which Ladbroke Grove passes, which has its summit near the point where St John's Church now stands",,LOCATION2,safety,Positive
3383,"Hi Jam , They might be paying for a room in an apt , I have been in London property for about 20 years and I have never seen a LOCATION1 flat for that sort of money , it may also be a house share or flat share so it 's 80 a week plus bills and in London the bills can be quite high",,LOCATION2,safety,Positive
3384,"Hi, i'm going to be relocating to London soon, and have employment in LOCATION1",,LOCATION2,safety,Positive
3385,Holiday Inn in LOCATION1 is good if they are running a cheaper tourist deal which they do sometimes,,LOCATION2,safety,Positive
3386,"Hope all goes well, i dont think they will com to LOCATION1 but fingers crossed",,LOCATION2,safety,Positive
3387,Hope it helps: LOCATION2and#x2F;LOCATION1 - great open park area with lots of tourists and attraction,,LOCATION2,touristy,Positive
3388,"However , if you insist on living on your own , I really feel that LOCATION1 is a pretty cheap area",,LOCATION1,price,Positive
3389,However LOCATION1 DOES exist as a postal county,,LOCATION1,price,Positive
